,home_team,away_team,home_point_spread
0,Ohio State,Merrimack,-23.5
1,Nebraska,Stony Brook,-16.0
2,Houston Christian,Florida International,13.0
3,BYU,Southeastern Louisiana,-22.5
4,Seattle U,Northern Arizona,-13.5
5,Texas,Rice,-20.5
6,Duquesne,Princeton,-6.0
7,Illinois State,Eastern Illinois,-12.0
8,Cleveland State,Canisius,-10.0
9,Maryland-Eastern Shore,Longwood,9.0
10,Loyola Maryland,Binghamton,-2.5
11,Louisville,Coppin State,-17.5
12,Nevada,Pacific,-13.0
13,East Carolina,South Carolina Upstate,-13.5
14,VCU,Radford,-3.0
15,George Mason,Cornell,-2.5
16,Rutgers,Georgetown,-10.0
17,Southeast Missouri State,Evansville,-2.5
18,South Florida,Central Michigan,-17.0
19,Charlotte,Utah Valley,-6.0
20,Portland,Tennessee State,-10.5
21,Boston College,Richmond,-4.5
22,Nicholls,Denver,-1.0
23,Fairleigh Dickinson,Saint Peter's,2.5
24,Fresno State,Morgan State,-18.5
25,Seton Hall,UAlbany,-18.0
26,Delaware State,Delaware,9.5
