,point_differential,home_offensive_efficiency,away_offensive_efficiency,home_defensive_efficiency,away_defensive_efficiency
0,15,91.07234479220112,76.75438596491229,71.83170856849665,97.31359649122808
3,9,110.27095148078135,95.73132454488386,96.0932577189666,109.85561833019459
4,3,97.65625,92.98140371925614,93.14903846153845,97.48050389922015
5,5,110.80752884031573,99.4733762434172,103.21797207043109,106.78759508484494
7,12,131.1519740400216,110.04660797514244,114.9269875608437,125.58259968928019
8,1,94.24083769633506,94.71718249733189,92.93193717277487,96.05122732123799
9,-9,98.01214798453893,116.55011655011656,110.43622308117062,103.43822843822844
10,8,107.98593671521847,101.5625,97.94073329984933,111.97916666666667
11,9,112.43386243386244,95.76612903225806,100.52910052910053,107.10685483870968
12,11,106.11907386990076,89.91825613079018,90.95920617420066,104.90463215258853
13,-3,100.16242555495398,96.68508287292818,104.22306442880347,92.91813159216474
14,9,102.21465076660989,87.84160624651423,89.43781942078365,100.3904071388734
15,8,106.44418872266974,97.1731448763251,94.9367088607595,108.95170789163721
16,16,123.16715542521995,95.39842873176207,99.70674486803519,117.84511784511784
18,16,104.56796917996698,85.17887563884156,82.5536598789213,107.89324247586597
19,-17,99.090318388564,123.65250475586558,126.7056530214425,96.70259987317692
20,-6,104.05690200210749,114.55525606469001,111.95995785036881,106.46900269541779
21,17,121.580547112462,93.08510638297871,95.74468085106383,118.20330969267138
22,9,105.6745801968732,88.69179600886919,92.64620729588883,101.16407982261642
24,2,103.85310054184227,99.76176295413937,100.84286574352801,102.73972602739727
27,-13,79.628400796284,95.79145728643216,101.19442601194426,75.37688442211056
29,-5,94.311377245509,95.77464788732394,101.79640718562875,88.73239436619718
32,8,105.6081573197378,89.54154727793696,91.04151493080845,103.86819484240688
33,-17,88.5766646304215,117.77638190954774,114.53879047037263,91.08040201005025
35,15,119.92619926199262,93.6385255648038,96.86346863468633,115.9334126040428
36,14,113.89850057670128,88.89496717724288,93.71395617070357,108.04157549234135
37,-11,85.35784635587656,104.5816733067729,103.41431385423505,86.32138114209828
39,11,108.7641866330391,88.25319537431527,91.4249684741488,104.99087035909922
40,-5,116.7964404894327,126.5642775881684,123.74860956618465,119.45392491467577
42,-10,97.82608695652173,116.39030612244898,113.35403726708073,100.44642857142858
43,-10,106.29921259842519,122.70765911542611,119.4225721784777,109.22330097087378
44,-3,103.4589252625077,103.24483775811211,108.09141445336627,98.82005899705015
45,12,122.49827467218772,100.27192386131883,101.79434092477571,120.66621346023112
49,19,111.96145124716553,88.91523414344991,85.03401360544217,117.07172495554236
53,6,131.41620284477426,119.84223300970874,122.13976499690784,128.94417475728156
54,18,117.08355508249069,90.53285049146406,93.13464608834487,113.81272633212625
56,-5,102.80678851174933,117.81011781011782,110.96605744125326,109.14760914760915
57,-6,103.80622837370244,110.36789297658865,114.18685121107266,100.33444816053512
59,18,121.98706643151087,95.81367924528301,95.53203997648441,122.34669811320754
60,8,122.4739742804654,104.28736964078793,110.22657685241887,115.87485515643104
61,14,112.49259917110717,93.37349397590361,91.77027827116638,114.45783132530119
62,11,93.95184967704051,83.02005012531328,77.80387551379917,100.25062656641603
63,13,124.0652617267165,97.27626459143968,101.97144799456153,118.35278858625162
64,-4,114.92832427088481,121.73694779116464,119.87147800296589,116.7168674698795
65,8,94.60297766749379,78.49526066350711,82.19602977667493,90.34360189573461
66,3,96.56004828002413,91.70174383644017,92.03379601689801,96.21166566446182
67,12,97.11431742508324,81.69014084507043,80.4661487236404,98.59154929577466
68,-17,78.36045810729355,104.48213204118714,103.97830018083182,78.74015748031495
70,-14,88.0503144654088,107.95805058605798,110.062893081761,86.36644046884638
72,-11,78.67694283879256,101.62601626016261,96.33911368015414,82.99457994579946
73,-24,87.80332056194126,122.67080745341615,126.11749680715198,85.40372670807453
75,15,121.15258677144729,95.71706683971448,96.5946299934512,120.0519143413368
76,18,99.94669509594883,80.5084745762712,75.9594882729211,105.93220338983052
77,11,125.99877074370008,104.53474676089516,109.09649661954516,120.73027090694934
79,-3,99.82384028185555,102.24654377880185,104.22783323546683,97.92626728110599
80,27,137.17805151175813,94.01483050847457,99.38409854423293,129.7669491525424
81,18,112.56720430107525,83.96161754626456,82.3252688172043,114.80466072652501
82,14,121.68141592920354,107.68335273573923,102.32300884955754,128.0558789289872
83,-9,91.50326797385621,106.83760683760684,106.20915032679738,92.04470742932281
87,-8,105.05698005698005,120.6772334293948,119.30199430199431,106.26801152737752
89,26,112.39368165249088,74.67330429371499,72.90400972053462,115.12134411947727
92,3,113.0722559293988,104.8858204992034,108.93546607832323,108.8688263409453
94,-5,98.0926430517711,104.39262472885031,104.90463215258853,97.61388286334056
95,25,116.68454935622317,79.48717948717949,83.15450643776823,111.53846153846155
96,4,99.33774834437087,95.41000515729758,94.24350483953134,100.56730273336771
97,11,109.72568578553617,97.07513867876955,96.00997506234414,110.9430156328795
100,8,99.56355701036553,91.39482564679415,88.65248226950355,102.64341957255343
101,2,105.67148207597646,104.90463215258853,102.99625468164793,107.62942779291554
102,-4,89.1812865497076,93.9306358381503,95.02923976608186,88.15028901734104
103,10,128.78787878787878,108.79848628192998,116.16161616161615,120.6244087038789
105,12,103.09278350515466,86.16320324379117,87.62886597938146,101.36847440446022
107,13,119.27480916030532,100.12919896640827,98.60050890585241,121.12403100775194
108,-3,93.4065934065934,97.85005512679162,97.52747252747254,93.71554575523705
111,-6,87.74453394706559,105.01567398119123,96.37514384349828,95.61128526645768
112,22,123.56841470765521,91.51921903599755,90.41591320072332,125.07626601586333
113,-7,105.76414595452141,115.62998405103669,115.01850872554205,106.32642211589581
114,-4,105.61342592592592,111.0790536641662,111.40046296296295,105.30871321407965
115,-12,79.95079950799507,102.96010296010296,98.40098400984009,83.65508365508366
116,-2,106.57193605683837,112.46200607902736,109.53226761397276,109.42249240121582
117,12,112.63897015798712,96.43916913946586,95.08484493856056,114.24332344213649
126,14,102.99097065462755,83.99772209567199,83.23927765237022,103.92938496583145
130,14,104.05105438401776,81.90118152524167,84.62819089900111,100.69817400644467
131,-7,81.92389006342495,96.26116071428571,91.17336152219873,86.49553571428571
132,26,114.1885325558795,86.11955420466057,82.6044703595724,119.04761904761905
135,6,100.2004008016032,90.42196918955125,90.18036072144288,100.46885465505693
