,home_team,away_team,home_point_spread,home_offensive_efficiency,home_defensive_efficiency,away_offensive_efficiency,away_defensive_efficiency
0,Ohio State,Merrimack,-23.5,110.95806550352006,111.72329354147534,109.91768721140333,102.3890784982935
1,Nebraska,Stony Brook,-16.0,110.47857969895793,75.26051717483597,109.61538461538463,108.17307692307692
2,Houston Christian,Florida International,13.0,77.73938795656466,135.73543928923988,93.63126470056088,114.43821241179664
3,BYU,Southeastern Louisiana,-22.5,,,109.58344677375442,106.86087666757417
4,Seattle U,Northern Arizona,-13.5,,,76.4941378324278,131.5413211323992
5,Texas,Rice,-20.5,116.49705409748259,76.99517943224423,130.7624113475177,107.86052009456264
6,Duquesne,Princeton,-6.0,118.64723467862481,99.02840059790732,111.53000314169023,100.53408733898839
7,Illinois State,Eastern Illinois,-12.0,99.97261024376883,93.12517118597646,100.15408320493067,103.04314329738058
8,Cleveland State,Canisius,-10.0,126.38001162115049,95.87449157466588,106.09122401847574,112.5866050808314
9,Maryland-Eastern Shore,Longwood,9.0,103.69955156950672,105.10089686098654,126.46514497223936,89.45095619987661
10,Loyola Maryland,Binghamton,-2.5,,,103.76314333148866,97.30676996864047
11,Louisville,Coppin State,-17.5,107.17069368667185,113.01636788776305,80.18775669861138,119.30373557598277
12,Nevada,Pacific,-13.0,114.84352569623888,99.77031294860753,93.24009324009324,92.5925925925926
13,East Carolina,South Carolina Upstate,-13.5,121.73913043478262,89.85507246376811,106.66414951859544,96.28091372474987
14,VCU,Radford,-3.0,,,106.15711252653928,94.09380428488709
15,George Mason,Cornell,-2.5,106.92307692307692,81.53846153846153,115.39121482498285,101.66437886067261
16,Rutgers,Georgetown,-10.0,98.37382051796828,85.32423208191126,120.40083757104398,93.47891115764284
17,Southeast Missouri State,Evansville,-2.5,80.3501437157042,116.93232296838254,124.14157422081354,72.63602746962493
18,South Florida,Central Michigan,-17.0,125.58869701726844,68.02721088435374,90.68346697212675,122.66132111492935
19,Charlotte,Utah Valley,-6.0,107.16677829872741,102.98057602143335,102.88065843621399,93.87860082304526
20,Portland,Tennessee State,-10.5,109.38062657544111,94.52646741087504,106.25501202886929,79.52419139267576
21,Boston College,Richmond,-4.5,117.98561151079137,101.43884892086331,129.16431394692262,86.81535855448898
22,Nicholls,Denver,-1.0,,,127.1772186895217,118.19187171689245
23,Fairleigh Dickinson,Saint Peter's,2.5,106.18729096989968,97.82608695652173,109.01399284087212,95.99739668076798
24,Fresno State,Morgan State,-18.5,107.57441791924552,106.83760683760684,104.00210637177463,102.68562401263823
25,Seton Hall,UAlbany,-18.0,112.77648428405122,82.94528521536671,,
26,Delaware State,Delaware,9.5,69.64907581034021,110.50093758371284,120.67260138476756,90.00989119683483
